# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=688345515
# chain_id=3
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-27.2039,0.990171,0.300234,2,7,0,29.4162,0.324462
-27.2121,0.99957,0.552885,1,1,0,27.2124,0.33008
-27.5088,0.896924,1.04513,1,3,0,28.0058,0.0663904
-29.1395,0.564286,1.42912,1,1,0,29.1612,-0.190909
-28.7433,1,0.700104,1,1,0,29.1295,-0.143979
-27.9472,1,1.31268,2,3,0,28.627,-0.0269499
-27.2794,1,2.43978,1,1,0,27.6669,0.142918
-27.2794,5.67214e-06,4.49238,1,1,0,28.4293,0.142918
-27.4247,0.977444,0.415494,2,7,0,28.7737,0.418673
-27.9267,0.769933,0.719467,1,3,0,32.2608,-0.0232813
-27.764,1,0.672115,2,3,0,27.9188,0.00773592
-30.1796,0.453764,1.22723,1,3,0,32.7136,0.804292
-28.6219,0.999995,0.459644,3,9,0,30.1277,-0.128458
-28.8201,0.976607,0.833773,1,1,0,28.9299,-0.153505
-27.358,0.999767,1.4014,2,3,0,28.8897,0.396943
-27.358,0.112492,2.49192,1,1,0,27.5874,0.396943
-27.2713,0.998831,0.370797,1,3,0,27.4384,0.362319
-27.1777,0.999845,0.65868,2,7,0,27.278,0.206722
-27.1777,0.878615,1.16217,1,3,0,27.7356,0.206722
-27.1858,0.975214,1.46149,2,3,0,27.2882,0.198944
-27.3257,0.873169,2.37517,1,1,0,27.3373,0.385109
-27.3257,0.482987,2.91576,1,1,0,27.7704,0.385109
-28.9842,0.69855,1.26837,1,3,0,29.0174,0.68206
-28.0156,0.991059,0.985445,3,7,0,29.0387,0.547756
-27.2421,1,1.64862,1,1,0,27.6837,0.347825
-27.2421,0.00509645,2.80003,1,1,0,27.6605,0.347825
-27.212,0.999974,0.366307,3,9,0,27.2505,0.178925
-27.4438,0.977204,0.62414,1,3,0,27.6356,0.0845377
-27.4447,0.886138,0.995829,1,3,0,28.6132,0.424658
-27.3234,1,1.25525,1,1,0,27.4366,0.384225
-27.8267,0.684374,2.09423,1,1,0,28.0531,0.513585
-28.0131,0.974139,1.5881,2,3,0,28.0572,-0.038407
-28.0131,0.75236,2.46379,1,1,0,29.0396,-0.038407
-28.1131,0.919431,2.21131,1,1,0,28.8675,-0.0549986
-28.1131,0.00823599,2.97915,1,1,0,28.1131,-0.0549986
-28.1241,0.999624,0.446484,1,1,0,28.152,-0.0567688
-27.5259,0.963214,0.733489,2,5,0,28.9543,0.447013
-27.3197,1,1.09775,1,1,0,27.4861,0.382813
-27.4992,0.906748,1.78194,1,1,0,27.5959,0.439958
-27.8215,0.74413,2.31021,1,1,0,28.2595,0.512578
-27.8215,0.118841,2.04471,1,1,0,28.6569,0.512578
-28.1877,0.986842,0.427233,1,3,0,28.3353,0.575747
-28.5897,0.916469,0.668384,2,3,0,29.8306,0.633151
-28.6357,0.99794,0.88543,2,3,0,28.8126,0.639177
-30.3965,0.549944,1.40592,1,1,0,30.6973,0.823665
-29.6405,1,0.808684,1,1,0,30.3842,0.752895
-27.2968,0.908209,1.28326,1,3,0,29.9725,0.135359
-27.3966,0.818357,1.65062,2,3,0,27.8,0.409895
-27.2785,0.995838,1.73496,2,3,0,27.4011,0.365599
-27.1606,1,2.693,1,1,0,27.2038,0.278273
-27.1606,8.02091e-12,4.1965,1,1,0,27.688,0.278273
-27.1551,0.999107,0.739413,1,3,0,27.1751,0.250052
-27.1593,0.998796,1.15259,1,3,0,27.162,0.275302
-27.554,0.805415,1.78633,1,1,0,27.5613,0.454179
-27.2919,1,1.82199,1,1,0,27.4968,0.371467
-27.2919,0.419785,2.80988,1,1,0,27.3032,0.371467
-27.6564,0.904702,1.26459,1,1,0,27.6588,0.478343
-27.5771,1,1.59161,2,3,0,27.6321,0.0490361
-27.5771,0.000478655,2.43893,1,1,0,28.6899,0.0490361
-27.3295,0.972764,0.464989,2,7,0,29.0944,0.386575
-27.231,0.996975,0.674756,3,7,0,27.4734,0.16726
-27.1854,0.933592,1.02514,2,3,0,27.8195,0.199311
-27.2057,0.993524,1.36188,1,1,0,27.2125,0.183191
-27.2057,0.438183,2.03822,1,1,0,27.7059,0.183191
-27.2057,0.904125,0.985381,2,7,0,28.0795,0.183191
-27.2607,0.995282,1.22831,2,3,0,27.2653,0.151624
-27.1853,0.942734,1.83444,2,3,0,27.298,0.309534
-27.366,0.829089,2.45689,1,1,0,27.3906,0.109216
-27.366,0.00141089,2.61769,1,1,0,28.0412,0.109216
-27.3696,0.999819,0.542205,1,1,0,27.3787,0.107989
-27.3366,1,0.813791,2,3,0,27.3761,0.119721
-27.2339,1,1.21708,2,3,0,27.3155,0.165589
-27.4521,0.667171,1.81329,2,3,0,27.8483,0.426804
-28.2317,0.766023,1.41068,1,1,0,28.2661,0.582522
-28.2317,0.709934,1.33145,1,1,0,29.1859,0.582522
-27.7274,1,1.12873,1,1,0,28.1556,0.493669
-27.2499,0.992344,1.66979,2,3,0,27.5847,0.351915
-27.663,0.658615,2.42578,1,1,0,27.7067,0.029109
-27.323,0.985174,1.86461,1,3,0,27.4907,0.384069
-27.372,0.942027,2.66211,1,1,0,27.6109,0.401773
-27.372,0.000305089,3.49347,1,1,0,27.4057,0.401773
-27.1569,0.975168,0.784167,2,5,0,27.7509,0.240405
-27.1888,0.994153,1.09781,1,3,0,27.1936,0.196272
-27.1554,0.919017,1.58739,2,3,0,27.3664,0.261636
-28.8216,0.321364,1.99135,1,1,0,28.91,0.662616
-29.0072,0.978292,0.82976,1,1,0,29.1414,0.684734
-27.2752,1,1.16128,2,3,0,28.6556,0.144827
-27.2333,1,1.68621,1,1,0,27.2926,0.165947
-27.162,1,1.22044,2,3,0,27.2014,0.227834
-27.162,0,17.5567,0,1,1,27.9454,0.227834
-27.162,1.93284e-10,2.96709,1,1,0,28.0295,0.227834
-27.2337,0.995323,0.292651,2,7,0,27.4614,0.343187
-27.1593,0.995789,0.390574,3,7,0,27.4328,0.233484
-27.1591,0.999073,0.602826,2,3,0,27.1714,0.233957
-27.1605,0.993197,1.02251,2,3,0,27.19,0.230816
-27.2233,0.935618,1.79048,1,1,0,27.2552,0.171813
-27.2233,1.54119e-15,2.69166,1,1,0,28.0349,0.171813
-27.2192,1,0.213639,1,1,0,27.2232,0.174284
-27.4352,0.980624,0.399866,2,7,0,27.9167,0.421825
-27.3381,0.91067,0.710198,1,3,0,28.3322,0.119155
-27.2629,1,1.01498,1,1,0,27.3396,0.150563
-27.9727,0.420381,1.92113,1,1,0,28.5184,-0.0314317
-27.9114,1,0.594162,1,1,0,28.0324,-0.0205195
-27.3976,1,1.12539,1,1,0,27.77,0.0987067
-27.3976,0.00118766,2.11706,1,1,0,27.6483,0.0987067
-27.3577,0.999864,0.18699,1,3,0,27.4179,0.112106
-27.2223,0.999991,0.353948,3,15,0,27.3554,0.336557
-27.156,0.994403,0.66432,2,3,0,27.2911,0.264635
-28.0264,0.653824,1.21475,1,1,0,28.0265,0.549598
-28.391,0.925024,0.803848,1,1,0,28.4942,0.605952
-28.6675,0.879129,1.18668,1,1,0,29.2344,0.643287
-27.3906,1,1.52346,1,1,0,27.6969,0.100973
-27.3906,2.49751e-11,2.75963,1,1,0,27.5311,0.100973
-27.2702,0.997878,0.284244,1,3,0,27.5221,0.147117
-27.2578,0.996463,0.514105,3,7,0,27.4218,0.153065
-27.2722,0.950355,0.917026,2,3,0,27.591,0.146186
-27.2722,0.197929,1.42474,1,1,0,28.0799,0.146186
-27.1645,0.978347,0.275085,2,7,0,29.0569,0.285354
-27.922,0.888046,0.462711,1,3,0,29.4318,0.531351
-28.4733,0.93566,0.60382,1,1,0,28.4734,0.617472
-28.0117,1,0.891877,1,1,0,28.4903,0.547097
-27.7688,1,1.55453,1,3,0,27.8339,0.00676736
-27.5623,0.333333,2.68534,1,3,1,27.8386,0.456257
-27.6137,0.834853,0.796762,2,7,0,28.8794,0.0403192
-28.4104,0.810999,0.891525,1,1,0,28.4307,-0.0997821
-27.662,1,0.936126,2,3,0,28.1937,0.479596
-27.3047,1,1.59591,1,1,0,27.5881,0.376822
-27.3047,0.00103833,2.69852,1,1,0,28.3742,0.376822
-27.2524,0.998982,0.361611,3,15,0,27.3737,0.155779
-27.3239,0.984929,0.611772,2,5,0,27.4436,0.384419
-27.2699,1,0.991569,2,3,0,27.3357,0.361669
-27.2699,0.00448329,1.65641,1,1,0,29.3388,0.361669
-27.3355,0.998053,0.238015,1,3,0,27.4007,0.388805
-27.3355,0.871642,0.396772,1,3,0,30.8089,0.388805
-27.5494,0.970071,0.483424,2,7,0,28.0951,0.0558956
-27.2823,0.997255,0.744228,2,7,0,27.5466,0.367309
-27.2234,1,1.21529,1,1,0,27.2864,0.337203
-27.2234,0.146181,1.98408,1,1,0,27.3535,0.337203
-27.4011,0.964278,0.430086,3,7,0,28.5389,0.411335
-27.3951,0.990128,0.645958,2,3,0,27.588,0.409389
-28.0481,0.897738,1.02474,2,3,0,28.1984,-0.0443247
-28.1151,0.987645,1.30515,2,3,0,28.1152,0.564258
-27.1569,1,2.03703,1,1,0,27.3609,0.268673
-27.1569,8.29416e-17,3.25167,1,1,0,27.7935,0.268673
-27.1845,0.996191,0.534344,1,3,0,27.2081,0.308798
-27.1999,0.976053,0.847671,2,3,0,27.3611,0.187409
-27.7617,0.738149,1.27808,1,1,0,27.7967,0.0081861
-27.1581,1,1.12892,1,3,0,27.5098,0.236552
-27.1581,0.10064,1.78264,1,1,0,27.7232,0.236552
-27.1564,0.999987,0.387054,1,3,0,27.1588,0.242122
-27.4264,0.952485,0.611632,1,3,0,27.6783,0.0897257
-27.797,0.970661,0.866979,2,3,0,27.811,0.00114
-29.0298,0.700781,1.27299,2,3,0,29.1547,-0.178427
-29.1124,0.990257,1.04168,2,3,0,29.774,-0.187864
-27.155,1,1.58623,1,1,0,27.748,0.251586
-27.155,0.000972162,2.45438,1,1,0,27.579,0.251586
-27.4423,0.950674,0.457119,1,3,0,28.1839,0.0849878
-27.6161,0.927423,0.638819,3,7,0,28.56,0.469151
-27.2919,1,0.847242,1,1,0,27.5393,0.371455
-27.7973,0.368173,1.3028,2,3,0,29.0175,0.00106407
-27.9175,0.988501,0.539341,1,1,0,27.9416,-0.0216223
-28.587,0.955112,0.808103,2,3,0,28.6304,-0.123876
-27.3409,1,1.12596,1,1,0,28.0982,0.118135
-28.346,0.37683,1.71319,1,1,0,28.8942,-0.0905734
-27.8688,1,0.733713,1,1,0,28.2894,-0.0126606
-27.2867,1,1.11394,2,3,0,27.6572,0.139704
-27.1708,1,1.6841,1,1,0,27.1878,0.294259
-27.1708,1.06056e-39,2.53562,1,1,0,31.5261,0.294259
-27.419,0.990577,0.521004,3,7,0,27.419,0.0919963
-28.7801,0.614938,0.771198,1,3,0,30.885,0.657499
-29.1282,0.966634,0.542857,1,1,0,29.1814,0.698568
-29.9258,0.857391,0.763622,1,1,0,30.1153,0.780722
-27.2023,0.996849,0.865235,1,3,0,29.6424,0.323275
-27.2023,0.273389,1.28356,1,1,0,28.3436,0.323275
-27.4682,0.971081,0.46889,1,3,0,27.7016,0.431409
-27.2069,0.943723,0.661352,1,3,0,28.1066,0.182413
-27.5016,0.968274,0.882404,2,3,0,27.5089,0.440616
-27.8273,0.8495,1.23048,1,1,0,28.0012,0.513694
-27.1629,1,1.36553,1,1,0,27.4217,0.226172
-28.1605,0.263008,2.01176,1,1,0,28.7467,-0.0625607
-27.9603,1,0.738577,1,1,0,28.2155,-0.0292576
-27.3621,1,1.08726,1,1,0,27.7695,0.110558
-27.2605,1,1.59515,1,1,0,27.3968,0.151727
-27.2605,3.33415e-06,2.33254,1,1,0,27.7216,0.151727
-28.2805,0.948653,0.53528,2,7,0,28.2805,-0.0809434
-32.4129,0.723757,0.713068,3,7,0,32.4131,0.979403
-31.1303,1,0.627432,3,7,0,32.4164,0.884812
-27.167,1,0.915098,1,3,0,30.5802,0.289242
-27.5052,0.820338,1.33047,1,1,0,27.5243,0.441575
-27.5052,0.0405213,1.39287,1,1,0,29.2959,0.441575
-27.7522,0.992289,0.357157,2,3,0,27.7605,0.498785
-28.0049,0.978345,0.511686,1,1,0,28.0052,0.545937
-27.6392,1,0.712935,2,3,0,27.9539,0.474465
-27.3597,1,1.02968,1,1,0,27.5839,0.397533
-27.1653,1,1.48281,1,1,0,27.222,0.222178
-27.3319,0.778927,2.12923,1,1,0,27.423,0.387474
-27.3319,0.515368,2.0655,1,1,0,27.3322,0.387474
-27.2929,0.982038,1.26204,2,3,0,27.4013,0.137037
-29.0716,0.165005,1.74987,1,1,0,29.3431,0.692149
-29.6076,0.941432,0.583365,1,1,0,29.6725,0.749589
-28.9441,1,0.754123,1,1,0,29.6558,0.677348
-27.1604,0.870433,1.07662,2,3,0,29.2031,0.277772
-27.1648,0.997783,1.22638,1,1,0,27.1675,0.285915
-27.7917,0.535116,1.73643,1,1,0,27.9917,0.506738
-27.1669,0.991251,1.11191,1,3,0,27.5757,0.21993
-27.3812,0.842704,1.55348,1,1,0,27.3908,0.404856
-27.3812,9.17733e-08,1.68263,1,1,0,33.0337,0.404856
-28.4084,0.901796,0.437967,1,3,0,29.4003,0.608414
-29.6134,0.923671,0.52608,2,3,0,29.9755,0.750169
-29.0205,1,0.654697,2,3,0,29.6331,0.68628
-28.864,1,0.924331,1,1,0,29.4267,0.667772
-27.3662,0.947733,1.30186,2,3,0,28.1947,0.399793
-27.1729,1,1.67702,1,1,0,27.2619,0.296911
-27.1729,1.24719e-05,2.35152,1,1,0,27.7937,0.296911
-27.2756,0.965149,0.631334,1,3,0,27.5641,0.144633
-27.202,1,0.836734,1,1,0,27.2596,0.185834
-27.6749,0.806652,1.17193,1,1,0,27.6875,0.0264798
-27.8432,0.901635,1.194,2,3,0,28.2472,-0.00782914
